Release_Year,Budget,Box_Office,Runtime,IMDB_Rating,Critic_Reviews,Audience_Reviews,Hit_Or_Flop,Tomatometer,Genre_Comedy,Genre_Drama,Genre_Horror,Genre_Romance,Genre_Sci-Fi,Genre_Thriller,Language_French,Language_German,Language_Hindi,Language_Japanese,Language_Mandarin,Language_Spanish,Release_Month_Aug,Release_Month_Dec,Release_Month_Feb,Release_Month_Jan,Release_Month_Jul,Release_Month_Jun,Release_Month_Mar,Release_Month_May,Release_Month_Nov,Release_Month_Oct,Release_Month_Sep
2000,88.968,38.59,131.0,3.69,1.2,2.0,0,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2003,199.163,336.544,81.0,5.95,7.0,8.3,1,6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2016,28.663,82.679,155.0,5.85,6.5,4.3,1,36,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2023,160.249,438.673,164.0,4.07,8.6,5.3,1,18,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1991,254.287,124.054,131.0,7.12,0.4,7.1,0,87,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2017,32.277,218.972,177.0,8.62,1.2,7.0,1,44,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
1993,256.74,129.827,85.0,7.67,8.5,8.4,0,92,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
2019,231.86,185.142,172.0,2.33,3.0,6.0,0,20,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2008,24.863,311.42,174.0,6.57,3.9,9.4,1,78,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2014,68.868,21.192,165.0,9.71,1.2,0.6,0,65,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2016,187.784,18.883,171.0,3.27,4.9,0.1,0,17,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1994,11.346,300.586,148.0,5.5,6.9,1.5,1,96,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1993,149.10649999999998,283.155,123.0,2.97,9.1,2.8,1,13,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2020,80.159,95.42,137.0,9.41,4.4,9.9,1,98,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2010,112.095,95.95,124.0,5.4,9.1,5.2,0,80,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1994,139.824,158.551,106.0,6.42,4.6,8.9,1,35,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1998,105.523,106.445,145.0,4.48,8.3,1.6,1,53,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
1993,248.296,257.818,138.0,4.4,5.1,9.5,1,42,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1995,198.405,354.038,179.0,9.7,0.2,9.6,1,95,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1998,97.68,449.225,131.0,2.3,3.2,4.2,1,20,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1993,36.532,298.483,118.0,1.34,6.7,1.5,1,22,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2020,221.17,283.415,98.0,3.5,4.5,5.8,1,95,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2013,170.709,756.9799999999999,96.0,5.06,2.7,4.4,0,11,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004,43.957,140.134,153.0,6.01,2.1,3.2,1,37,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2004,241.258,466.744,117.0,6.91,9.1,6.7,1,29,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016,153.268,116.894,164.0,1.99,3.1,9.3,0,46,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2005,127.336,55.457,131.0,4.31,0.7,9.7,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2019,50.648,397.356,141.0,5.9,2.5,7.0,1,82,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2006,218.52,218.733,148.0,9.49,2.0,4.1,1,94,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1995,26.757,450.935,131.0,9.62,3.0,9.5,1,56,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1994,143.509,336.281,173.0,3.92,9.4,5.2,1,12,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2017,169.134,368.523,83.0,4.52,9.8,5.4,1,63,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1990,108.666,319.064,170.0,3.12,9.5,3.8,1,11,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2022,225.793,393.034,143.0,8.27,2.1,4.5,1,47,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022,131.701,297.002,140.0,9.55,5.3,0.9,1,95,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
2000,220.653,147.371,95.0,4.36,0.5,1.2,0,31,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2009,105.916,71.34,117.0,5.43,1.6,1.7,0,91,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2005,210.222,376.249,163.0,3.24,9.6,0.7,1,75,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2006,86.525,21.778,108.0,6.81,4.3,8.6,0,94,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,255.551,536.68,131.0,4.61,1.5,1.7,0,88,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2002,149.10649999999998,214.623,102.0,5.1,2.3,5.7,1,90,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2015,149.10649999999998,346.942,119.0,4.5,9.5,6.8,1,39,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2011,252.738,86.465,160.0,8.74,7.5,0.3,0,6,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1999,226.638,34.485,140.0,5.42,1.2,2.1,0,48,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2002,16.243,34.644,152.0,8.5,3.7,4.2,1,76,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2022,36.456,381.77,144.0,4.25,9.7,1.3,1,46,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2002,24.794,256.994,146.0,9.27,2.7,3.3,1,87,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2010,149.10649999999998,62.441,131.0,2.43,5.7,5.2,0,28,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2000,198.965,177.586,88.0,8.86,8.9,0.4,0,8,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2015,149.10649999999998,492.827,145.0,1.3,3.1,8.0,1,60,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2022,163.686,368.703,110.0,3.44,1.6,8.8,1,22,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2009,245.953,162.219,91.0,5.95,8.8,0.6,0,23,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2001,55.733,377.238,143.0,1.19,2.8,9.5,1,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
1997,149.10649999999998,19.793,103.0,5.7,9.1,5.9,1,57,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2005,163.43,358.86,98.0,7.26,9.3,0.6,0,50,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1991,216.021,368.2,120.0,7.39,2.9,1.0,0,53,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1990,59.634,191.011,138.0,7.66,6.2,1.3,1,22,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2004,89.629,11.443,131.0,4.54,3.0,1.9,0,51,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1999,93.872,279.243,150.0,6.95,5.7,0.3,1,87,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
2000,146.932,473.52,116.0,6.81,3.0,8.0,1,22,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2001,150.887,283.223,144.0,6.57,9.2,2.2,1,83,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2007,213.232,131.506,141.0,9.13,0.5,5.3,0,20,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2007,70.505,11.899,167.0,6.63,5.6,2.6,0,98,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
1990,149.10649999999998,254.193,169.0,5.05,8.7,8.9,1,22,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2010,280.021,1.04,86.0,8.49,7.8,2.0,0,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2007,298.116,375.21,179.0,9.91,7.3,5.2,0,12,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2003,276.246,40.596,159.0,9.73,0.9,9.1,0,87,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1990,276.552,107.885,112.0,7.98,9.9,1.7,0,64,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2016,52.855,439.395,131.0,7.96,8.4,2.9,1,19,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2010,132.093,178.182,93.0,6.42,6.6,6.3,1,78,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2004,106.384,11.05,154.0,5.42,9.3,8.3,0,82,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2008,199.998,65.737,151.0,4.08,3.7,8.4,0,99,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2007,169.032,487.055,166.0,3.63,8.8,2.6,1,58,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2012,149.10649999999998,928.25,131.0,6.89,5.7,5.6,0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1997,207.576,181.158,162.0,1.28,6.6,6.9,0,10,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2014,79.597,433.626,167.0,4.61,5.6,2.6,1,36,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2023,138.201,896.52,180.0,7.15,7.2,6.6,0,87,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2023,238.619,383.53,131.0,9.41,9.8,9.7,1,92,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1994,268.996,120.468,141.0,7.92,6.9,5.2,0,63,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016,208.443,113.866,173.0,6.52,9.4,7.0,0,20,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2018,149.10649999999998,234.825,91.0,4.56,0.8,0.8,1,6,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2004,182.222,391.019,142.0,1.17,9.0,0.9,1,41,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2009,46.414,184.094,131.0,5.55,4.5,7.9,1,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2021,120.673,107.89,93.0,6.95,9.9,8.3,0,95,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2021,226.368,246.454,86.0,5.01,3.7,1.0,1,95,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
2007,149.10649999999998,49.89,120.0,2.21,1.2,7.2,0,38,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2020,66.256,268.987,119.0,6.78,9.9,4.4,1,17,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2001,140.695,388.497,150.0,2.43,9.8,0.9,1,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022,165.575,53.485,132.0,3.6,5.4,3.5,0,68,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2020,118.951,360.074,118.0,7.16,9.1,8.0,1,29,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2014,67.414,43.548,113.0,5.06,1.5,7.9,0,24,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1991,156.222,46.807,99.0,7.85,7.3,5.8,0,70,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1997,192.01,489.753,169.0,5.77,7.7,3.1,1,17,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1992,238.03,206.766,127.0,2.47,6.8,1.2,0,35,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2002,181.532,117.205,136.0,3.86,0.6,1.7,0,11,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2017,243.737,197.141,159.0,5.32,8.0,5.1,0,11,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2022,209.937,87.16,154.0,8.11,4.8,6.8,0,91,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1997,171.18,207.586,130.0,6.24,1.4,9.1,1,97,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1999,120.469,389.192,86.0,3.08,6.3,1.0,1,44,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2005,161.735,62.413,134.0,6.7,9.6,0.9,0,70,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016,150.454,149.07,162.0,6.15,9.7,9.5,0,90,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1995,178.073,26.779,179.0,3.64,1.2,4.1,0,4,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1999,259.826,316.851,144.0,3.37,7.5,5.8,1,13,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2018,94.269,242.277,114.0,1.07,5.6,8.4,1,94,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2013,147.928,149.927,131.0,5.42,9.0,7.4,1,40,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2020,83.943,394.394,119.0,5.84,6.2,1.0,1,60,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2002,65.819,221.005,93.0,3.01,1.0,0.1,1,40,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2011,235.87,270.85,147.0,6.99,5.2,0.3,1,58,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2023,299.847,439.513,88.0,8.08,5.8,3.7,1,33,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2016,279.514,475.305,163.0,3.87,7.9,6.9,1,70,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2005,76.129,136.009,92.0,6.9,3.4,8.2,1,66,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2009,163.596,93.364,108.0,8.44,7.3,6.3,0,77,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1992,37.96,432.308,102.0,3.87,1.8,9.6,1,18,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2013,251.056,331.381,165.0,1.55,4.3,5.3,1,6,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2023,149.10649999999998,71.278,83.0,8.61,1.8,5.2,0,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2011,221.431,293.197,88.0,3.57,4.4,1.9,1,81,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2003,190.255,295.174,115.0,7.91,0.4,8.4,1,21,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2000,149.10649999999998,431.149,105.0,4.94,4.0,4.7,1,97,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2023,91.406,71.588,123.0,8.15,4.7,1.6,0,33,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1995,289.798,256.27,106.0,4.72,4.6,6.0,0,92,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2016,149.10649999999998,55.172,161.0,2.81,2.1,5.2,0,86,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1999,128.718,94.95,145.0,9.77,9.7,9.1,0,25,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2024,109.05,95.726,100.0,2.2,8.1,7.1,0,35,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2000,75.131,230.782,138.0,3.95,4.8,2.5,1,37,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016,269.087,285.486,131.0,9.7,6.1,8.3,1,98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2011,126.619,331.58,162.0,6.6,6.2,5.2,1,28,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2013,182.42,11.615,95.0,3.82,9.1,1.8,0,23,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1999,75.188,62.31,86.0,8.48,0.7,5.4,0,16,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2005,294.561,474.49,107.0,7.91,4.9,8.8,1,5,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2001,214.971,289.557,82.0,6.69,10.0,0.9,1,72,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2007,162.451,415.184,110.0,4.06,2.7,7.7,1,77,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2009,275.33,149.487,130.0,8.69,2.2,9.0,0,32,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
2000,183.376,412.841,139.0,1.33,5.0,7.9,1,26,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2018,157.894,295.474,84.0,3.58,9.1,5.6,1,22,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2018,72.421,208.198,93.0,3.11,7.3,1.8,1,7,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2023,216.995,62.789,167.0,9.85,5.0,6.2,0,54,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2011,80.188,55.271,90.0,5.11,7.7,2.9,0,55,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2005,289.55,205.384,147.0,3.76,8.5,5.8,0,25,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1999,135.918,236.425,162.0,2.7,9.7,5.7,1,64,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
2001,23.384,272.406,174.0,2.89,6.9,1.8,1,51,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2014,268.656,355.185,167.0,1.22,2.6,0.3,1,75,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2005,299.061,150.264,163.0,3.55,5.2,5.2,0,91,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1994,172.955,111.121,150.0,3.92,2.5,7.6,0,84,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004,149.10649999999998,459.557,173.0,2.74,1.0,1.1,1,47,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1999,118.972,63.941,147.0,6.36,0.5,9.9,0,87,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2007,64.812,47.253,94.0,6.29,2.0,9.0,0,39,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2003,154.586,61.12,153.0,8.2,3.6,8.4,0,85,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1999,149.892,165.861,156.0,2.46,7.7,7.0,1,92,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2008,234.115,444.274,148.0,1.17,4.2,6.3,1,30,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2006,127.416,475.606,165.0,6.87,6.2,0.4,1,80,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2013,14.564,435.833,127.0,4.94,0.6,10.0,1,98,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,96.787,29.615,131.0,7.53,0.6,9.4,0,83,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2010,229.365,165.061,137.0,3.51,3.6,6.8,0,86,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1995,76.093,50.9,103.0,3.72,4.4,5.2,0,94,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2001,238.921,350.862,92.0,9.07,1.8,6.5,1,5,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1999,95.167,52.462,148.0,2.11,2.6,8.9,0,60,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2014,230.649,106.65,178.0,3.01,7.9,1.2,0,81,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2002,278.18,416.665,152.0,7.93,7.4,4.9,1,21,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2020,116.839,12.107,125.0,3.99,1.8,8.3,0,25,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1999,104.048,5.894,101.0,8.01,6.6,8.0,0,40,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016,113.533,744.05,90.0,4.73,3.7,1.8,0,84,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
2014,73.978,440.353,93.0,7.65,4.3,0.3,1,78,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1994,279.725,245.822,118.0,7.39,6.6,3.6,0,89,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
