Movie_Title,Genre,Director,Release_Year,Budget,Box_Office,Runtime,IMDB_Rating,Language,Production_Company,Release_Month,Critic_Reviews,Audience_Reviews,Hit_Or_Flop,Tomatometer
Any bag term.,Comedy,Carol Diaz,2017,169.134,368.523,83.0,4.52,Mandarin,Lionsgate,Apr,9.8,5.4,Hit,63
Quickly president suddenly.,Horror,George Williams,1990,108.666,319.064,170.0,3.12,Spanish,Disney,Jul,9.5,3.8,Hit,11
Fight drop kid.,Romance,Debbie Howe,2022,225.793,393.034,143.0,8.27,English,Disney,Oct,2.1,4.5,Hit,47
Anyone material reveal.,Thriller,Ashley Williams,2015,133.409,3484.08,180.0,9.68,Mandarin,New Line Cinema,Oct,4.9,3.2,Hit,82
As dream.,Sci-Fi,Randall Wilson,2022,131.701,297.002,140.0,9.55,Spanish,Paramount,Dec,5.3,0.9,Hit,95
Seem hospital military bank security.,Action,Joanne Harris,2000,220.653,147.371,95.0,4.36,English,Universal Pictures,Aug,0.5,1.2,Flop,31
Have scientist today star program.,Romance,Michael Miller,2009,105.916,71.34,117.0,5.43,Mandarin,Sony Pictures,Feb,1.6,1.7,Flop,91
Foot organization assume glass.,Action,Hayden Tyler,2005,210.222,376.249,163.0,3.24,Hindi,Universal Pictures,May,9.6,0.7,Hit,75
South leave include.,Action,Michelle Wagner,2006,86.525,21.778,108.0,6.81,German,Warner Bros,Apr,4.3,8.6,Flop,94
Election may see serve.,Comedy,Jimmy Morton,2005,255.551,536.68,,4.61,Japanese,New Line Cinema,Feb,1.5,1.7,Flop,88
Return want.,Drama,Jimmy Morton,2022,173.412,3618.2400000000002,118.0,8.62,German,Warner Bros,Dec,3.6,7.9,Hit,16
Audience board always term.,Comedy,Ruben Lynch,2002,,214.623,102.0,5.1,Hindi,Fox,Jul,2.3,5.7,Hit,90
Study beautiful also in.,Thriller,Randall Wilson,2015,,346.942,119.0,4.5,Japanese,Sony Pictures,Oct,9.5,6.8,Hit,39
Analysis recognize.,Horror,Paul Watson,2011,252.738,86.465,160.0,8.74,Spanish,Sony Pictures,May,7.5,0.3,Flop,6
Machine none stand.,Horror,Stephanie Alvarez,2017,288.297,1644.48,104.0,1.11,French,Universal Pictures,Nov,8.5,9.9,Flop,46
Seven hard.,Comedy,Randall Howe,1999,226.638,34.485,140.0,5.42,French,Disney,Mar,1.2,2.1,Flop,48
Scientist case such.,Romance,Mr. Brian Tucker,2002,16.243,34.644,152.0,8.5,Hindi,Fox,May,3.7,4.2,Hit,76
Kind interesting.,Horror,Carmen Jackson,1999,213.424,1014.4100000000001,,8.57,Hindi,Paramount,Nov,9.7,7.1,Flop,18
Community evidence anyone police.,Thriller,Elizabeth Mann,2022,36.456,381.77,144.0,4.25,Mandarin,Paramount,Nov,9.7,1.3,Hit,46
Fast weight receive million.,Romance,Kevin Sims,2002,24.794,256.994,146.0,9.27,French,Disney,Aug,2.7,3.3,Hit,87
Miss chair.,Comedy,Hayden Tyler,2010,,62.441,,2.43,French,New Line Cinema,Jun,5.7,,Flop,28
Similar magazine give magazine.,Drama,Melissa Smith,2000,198.965,177.586,88.0,8.86,French,Paramount,Mar,8.9,0.4,Flop,8
They attention conference Republican.,Sci-Fi,Jimmy Sosa,2015,,492.827,145.0,1.3,Spanish,Lionsgate,Mar,3.1,8.0,Hit,60
Anything full dark land.,Drama,Mr. Brian Tucker,2022,163.686,368.703,110.0,3.44,Spanish,Warner Bros,Jul,1.6,8.8,Hit,22
Clear eye store red.,Action,Ashley Williams,2009,245.953,162.219,91.0,5.95,English,Sony Pictures,Dec,8.8,0.6,Flop,23
Catch know page interesting western.,Sci-Fi,Dana Bryant,2000,254.122,1498.1899999999998,157.0,6.24,Hindi,Fox,Oct,6.0,5.5,Flop,12
Sit value.,Comedy,Elizabeth Davis,2021,223.393,1260.4,140.0,7.12,French,New Line Cinema,Sep,9.5,3.7,Flop,1
Address its yard.,Romance,Nancy Shah,2001,55.733,377.238,143.0,1.19,Japanese,Sony Pictures,Feb,2.8,9.5,Hit,1
Rule first arm.,Horror,Joanne Harris,1997,,19.793,103.0,5.7,French,Fox,Aug,9.1,5.9,Hit,57
Explain cup condition require none.,Comedy,Michael Miller,2005,163.43,358.86,98.0,7.26,French,Lionsgate,Sep,9.3,0.6,Flop,50
Address exactly system.,Sci-Fi,Caleb Barnes,1991,216.021,368.2,120.0,7.39,French,Lionsgate,Jun,2.9,1.0,Flop,53
Black history fish.,Drama,Elizabeth Mann,1990,59.634,191.011,138.0,7.66,Spanish,Disney,Apr,6.2,1.3,Hit,22
Red cold arrive.,Romance,Jimmy Morton,2004,89.629,11.443,,4.54,Hindi,Fox,Dec,3.0,1.9,Flop,51
Quality call marriage various.,Drama,Alicia Lawrence,1999,93.872,279.243,150.0,6.95,Mandarin,Fox,Aug,5.7,0.3,Hit,87
Another other make economic side.,Sci-Fi,Carmen Jackson,2000,146.932,473.52,116.0,6.81,Japanese,New Line Cinema,Oct,3.0,8.0,Hit,22
Skill experience.,Thriller,Randall Howe,2001,150.887,283.223,144.0,6.57,Mandarin,Fox,Sep,9.2,2.2,Hit,83
Name paper three.,Sci-Fi,Jennifer Smith,2007,213.232,131.506,141.0,9.13,Mandarin,Disney,Jun,0.5,5.3,Flop,20
Design market.,Action,Joanne Harris,2007,70.505,11.899,167.0,6.63,Japanese,New Line Cinema,Aug,5.6,2.6,Flop,98
Across letter picture.,Comedy,Nicholas Bates,1990,,254.193,169.0,5.05,Japanese,Sony Pictures,Nov,8.7,8.9,Hit,22
Pass one sure tax.,Action,Michelle Wagner,2010,280.021,1.04,86.0,8.49,Mandarin,New Line Cinema,Feb,7.8,2.0,Flop,31
Bar want radio owner where.,Romance,Dustin Mosley,2007,298.116,375.21000000000004,179.0,9.91,French,Warner Bros,Jul,7.3,,Flop,12
Friend long seven reveal.,Action,Kayla Mcconnell,2013,246.979,4221.27,162.0,7.98,Hindi,Disney,Jul,5.2,6.7,Hit,70
Financial mind language get.,Romance,Randall Howe,2003,276.246,40.596,159.0,9.73,Mandarin,Universal Pictures,Sep,0.9,9.1,Flop,87
Again expert water simply.,Action,John Barnett,1990,276.552,107.885,112.0,7.98,Japanese,Universal Pictures,Oct,9.9,1.7,Flop,64
Others degree event imagine.,Horror,Stephanie Alvarez,2016,52.855,439.395,,7.96,German,Disney,Mar,8.4,2.9,Hit,19
Watch education maintain.,Sci-Fi,Nicholas Bates,2010,132.093,178.182,93.0,6.42,Spanish,Sony Pictures,Mar,6.6,6.3,Hit,78
International tree continue.,Action,Jimmy Morton,2015,72.747,1691.6100000000001,179.0,3.6,Spanish,Fox,Jan,4.4,0.6,Hit,59
Several save side.,Action,Caleb Barnes,2004,106.384,11.05,154.0,5.42,Hindi,Fox,Dec,9.3,8.3,Flop,82
Rather life floor in.,Romance,Melissa Smith,2013,8.691,2364.13,144.0,3.18,English,Fox,Sep,7.6,1.0,Hit,36
Many authority service help.,Comedy,Nicholas Bates,2008,199.998,65.737,151.0,4.08,English,New Line Cinema,May,3.7,8.4,Flop,99
Tend upon phone way others.,Drama,Michelle Wagner,2007,169.032,487.055,166.0,3.63,English,New Line Cinema,Mar,8.8,2.6,Hit,58
Factor old she.,Comedy,Kayla Mcconnell,2005,169.498,4452.96,108.0,6.44,French,Warner Bros,Jul,8.5,4.0,Hit,66
Rule development ground light affect.,Thriller,Joanne Harris,2012,,928.25,,6.89,Hindi,Paramount,Mar,5.7,5.6,Flop,1
Nature than line development.,Action,Ruben Lynch,1997,207.576,181.158,162.0,1.28,Spanish,Warner Bros,Sep,6.6,6.9,Flop,10
Including bad.,Thriller,Tammy Gonzalez,2014,79.597,433.626,167.0,4.61,Hindi,Fox,Aug,5.6,2.6,Hit,36
Fine treat.,Horror,Danielle Potter,2023,138.201,896.52,180.0,7.15,French,Lionsgate,Jan,7.2,6.6,Flop,87
Political show mission song.,Horror,Caleb Barnes,2023,238.619,383.53,,9.41,Mandarin,Universal Pictures,Jul,9.8,9.7,Hit,92
Service pressure stay believe certainly.,Drama,Hayden Tyler,1994,268.996,120.468,141.0,7.92,English,New Line Cinema,Sep,6.9,,Flop,63
Executive nice late fast.,Drama,Jimmy Sosa,2016,208.443,113.866,173.0,6.52,Hindi,Paramount,Dec,9.4,7.0,Flop,20
Role Congress cold Mrs.,Comedy,Dr. Brianna Wilson DDS,1991,186.299,2504.37,110.0,1.94,German,Warner Bros,Apr,8.7,2.4,Hit,89
Night customer energy include.,Thriller,Ashley Williams,2018,,234.825,91.0,4.56,Spanish,Warner Bros,Oct,0.8,0.8,Hit,6
Enjoy course.,Romance,Kevin Sims,2004,182.222,391.019,142.0,1.17,English,Universal Pictures,Sep,9.0,0.9,Hit,41
Particular face administration.,Drama,Dr. Brianna Wilson DDS,2009,46.414,184.094,,5.55,Hindi,Disney,Feb,4.5,7.9,Hit,2
Speech already base president quickly.,Sci-Fi,Andrew Krause,2021,120.673,107.89,93.0,6.95,Spanish,Lionsgate,Mar,9.9,8.3,Flop,95
Make subject this.,Sci-Fi,Jennifer Smith,2021,226.368,246.454,86.0,5.01,Japanese,Fox,Aug,3.7,1.0,Hit,95
Bad type do party present.,Romance,Kayla Mcconnell,2019,225.586,2671.7000000000003,174.0,4.17,Mandarin,Universal Pictures,Apr,6.9,7.6,Hit,20
Program officer quite.,Action,Mrs. Katie Boone DDS,2007,,49.89,120.0,2.21,German,Lionsgate,Jul,1.2,7.2,Flop,38
Ground off.,Comedy,Heidi Ritter,2020,66.256,268.987,119.0,6.78,French,Warner Bros,Jun,9.9,4.4,Hit,17
Authority start result.,Thriller,Heidi Ritter,2001,55.183,3615.24,157.0,9.82,German,Warner Bros,Apr,1.1,7.2,Hit,6
Half life eye.,Sci-Fi,Mr. Brian Tucker,2018,89.564,3605.17,122.0,5.6,English,Universal Pictures,Jul,2.8,8.2,Hit,67
Lead fish.,Action,Jimmy Morton,2001,140.695,388.497,150.0,2.43,English,Fox,Mar,9.8,0.9,Hit,14
Record single hundred.,Horror,Joanne Harris,2002,226.97,4878.6900000000005,174.0,1.91,Mandarin,New Line Cinema,Sep,4.3,4.8,Hit,61
Skin employee stock.,Romance,Joseph Moore,2022,165.575,53.485,132.0,3.6,Hindi,Warner Bros,Jun,5.4,3.5,Flop,68
Day way.,Horror,Randy Lewis,2007,299.268,3509.43,163.0,6.47,English,Warner Bros,Jun,6.2,7.2,Hit,24
Score toward open share.,Thriller,Debbie Howe,2020,118.951,360.074,118.0,7.16,French,Universal Pictures,Jun,9.1,8.0,Hit,29
School political.,Thriller,Kathleen Adkins,2014,67.414,43.548,113.0,5.06,English,Fox,Jul,1.5,7.9,Flop,24
Boy prove present none.,Sci-Fi,Ruben Lynch,2020,258.796,1764.86,,7.77,Hindi,Warner Bros,Aug,6.6,1.2,Flop,89
Whom last face stand.,Action,Hayden Tyler,1991,156.222,46.807,99.0,7.85,German,New Line Cinema,Feb,7.3,5.8,Flop,70
Result rise head.,Comedy,Alicia Lawrence,1997,192.01,489.753,169.0,5.77,Hindi,Paramount,Aug,7.7,3.1,Hit,17
Good available present reflect herself.,Thriller,William Price,1992,238.03,206.766,127.0,2.47,French,Disney,Jul,6.8,1.2,Flop,35
Itself could drug face establish.,Horror,Paul Watson,2002,181.532,117.205,136.0,3.86,German,Fox,Sep,0.6,1.7,Flop,11
New fire top.,Horror,Kayla Mcconnell,2017,243.737,197.141,159.0,5.32,Japanese,Sony Pictures,Feb,8.0,5.1,Flop,11
Modern together radio report floor.,Thriller,Randall Howe,2022,209.937,87.16,154.0,8.11,Japanese,Disney,May,4.8,6.8,Flop,91
Wind after crime.,Romance,Sean Sullivan,1997,171.18,207.586,130.0,6.24,English,New Line Cinema,Apr,1.4,9.1,Hit,97
Site health.,Sci-Fi,Tasha Reyes,1999,120.469,389.192,86.0,3.08,Japanese,New Line Cinema,Mar,6.3,1.0,Hit,44
Good ahead painting heavy.,Horror,Mr. Brian Tucker,2005,161.735,62.413,134.0,6.7,English,Universal Pictures,Nov,9.6,0.9,Flop,70
Wear red need firm.,Horror,Joanne Harris,2016,150.454,149.07,162.0,6.15,Hindi,Sony Pictures,Oct,9.7,9.5,Flop,90
Wish team page star.,Sci-Fi,Joseph Swanson,1995,178.073,26.779,179.0,3.64,Mandarin,Disney,Nov,1.2,4.1,Flop,4
In generation beyond.,Romance,Debbie Howe,1999,259.826,316.851,144.0,3.37,English,Universal Pictures,Dec,7.5,5.8,Hit,13
Must fire page.,Romance,Joseph Moore,2018,94.269,242.277,114.0,1.07,French,Fox,Mar,5.6,8.4,Hit,94
Leave exist country.,Romance,Joseph Swanson,2013,147.928,149.927,,5.42,Mandarin,Lionsgate,Nov,9.0,7.4,Hit,40
Family fast personal hard.,Comedy,Joseph Moore,2021,34.524,2786.1099999999997,,8.83,French,Paramount,Nov,4.2,1.5,Hit,29
Institution matter herself drive.,Sci-Fi,Dana Bryant,2020,83.943,394.394,119.0,5.84,Hindi,Universal Pictures,Dec,6.2,1.0,Hit,60
Space after these.,Drama,Michelle Wagner,2002,65.819,221.005,93.0,3.01,German,Sony Pictures,Mar,1.0,0.1,Hit,40
Let very understand leave.,Comedy,Debbie Howe,2011,235.87,270.85,147.0,6.99,Spanish,Lionsgate,Apr,5.2,0.3,Hit,58
Do trial soldier during.,Action,Randy Lewis,2023,299.847,439.513,88.0,8.08,Mandarin,Warner Bros,Dec,5.8,3.7,Hit,33
Describe best.,Action,Heidi Ritter,2011,132.41,3754.73,158.0,7.01,German,Universal Pictures,May,2.8,,Hit,90
Inside picture firm.,Drama,Heidi Ritter,2016,279.514,475.305,163.0,3.87,French,Disney,Feb,7.9,6.9,Hit,70
Or wonder child impact.,Horror,Yvonne Reynolds,2016,154.819,4059.8,104.0,1.93,Spanish,Lionsgate,Mar,3.4,8.2,Hit,78
Government well lose.,Comedy,Marcus Chen,2005,76.129,136.009,92.0,6.9,Hindi,Lionsgate,Dec,3.4,8.2,Hit,66
As several career.,Horror,Heidi Ritter,2009,163.596,93.364,108.0,8.44,English,Disney,Nov,7.3,6.3,Flop,77
Serve apply follow.,Romance,Joseph Moore,1992,37.96,432.308,102.0,3.87,Mandarin,Fox,Jun,1.8,9.6,Hit,18
Plan number.,Horror,Heidi Ritter,2013,251.056,331.381,165.0,1.55,Japanese,Warner Bros,May,4.3,5.3,Hit,6
Involve join star name.,Drama,Ruben Lynch,2015,110.943,3723.2400000000002,83.0,4.46,French,Sony Pictures,Mar,5.9,1.9,Hit,19
Pull public.,Action,Nancy Shah,1995,238.865,2560.54,139.0,1.64,English,Warner Bros,Aug,0.4,6.9,Hit,89
Option himself floor.,Comedy,Sean Sullivan,2005,82.073,3775.69,82.0,9.22,Spanish,Paramount,Nov,5.2,4.5,Hit,24
By candidate age pull.,Romance,Andrew Krause,2005,15.999,1464.17,91.0,3.89,French,Fox,Dec,2.0,8.4,Hit,83
Cup hot agreement.,Action,Debbie Howe,2023,,71.278,83.0,8.61,English,Sony Pictures,Oct,1.8,,Flop,36
Degree when security learn.,Sci-Fi,Marcus Chen,2011,221.431,293.197,88.0,3.57,English,Lionsgate,Mar,4.4,1.9,Hit,81
Bill own research right character.,Drama,Carmen Jackson,1993,78.771,4481.23,125.0,7.02,French,Warner Bros,Apr,5.5,3.6,Hit,88
Yeah standard its.,Comedy,Heidi Ritter,2003,190.255,295.174,115.0,7.91,Japanese,Lionsgate,Nov,0.4,8.4,Hit,21
Per analysis hear.,Action,Dustin Mosley,2000,,431.149,105.0,4.94,Mandarin,Sony Pictures,Apr,4.0,4.7,Hit,97
Short us consumer test.,Drama,Alicia Lawrence,2023,91.406,71.588,123.0,8.15,Mandarin,Fox,Mar,4.7,1.6,Flop,33
One huge continue building.,Sci-Fi,Michelle Wagner,1995,289.798,256.27,106.0,4.72,Mandarin,New Line Cinema,Jul,4.6,6.0,Flop,92
Middle performance.,Horror,Carol Diaz,2016,,55.172,161.0,2.81,Mandarin,Fox,Jun,2.1,,Flop,86
Should report player.,Horror,Alicia Lawrence,2008,211.073,2684.8399999999997,89.0,2.2,Japanese,Paramount,Aug,9.6,8.0,Hit,61
Argue occur run cover group.,Horror,Dr. Brianna Wilson DDS,1999,128.718,94.95,145.0,9.77,French,New Line Cinema,Jan,9.7,9.1,Flop,25
Condition no star table bed.,Romance,Debbie Howe,2024,109.05,95.726,100.0,2.2,Japanese,Disney,Sep,8.1,7.1,Flop,35
Outside because measure.,Horror,Sean Sullivan,2000,75.131,230.782,138.0,3.95,French,Warner Bros,Jan,4.8,2.5,Hit,37
Will consider degree.,Drama,Kimberly Jimenez,2016,269.087,285.486,131.0,9.7,English,Sony Pictures,Mar,6.1,8.3,Hit,98
Last wear.,Comedy,Nicholas Bates,2011,126.619,331.58,162.0,6.6,French,Disney,May,6.2,,Hit,28
Only forget.,Thriller,Elizabeth Mann,2013,182.42,11.615,95.0,3.82,French,Universal Pictures,Jul,9.1,1.8,Flop,23
Season interest training.,Horror,Stephanie Alvarez,1999,75.188,62.31,86.0,8.48,Hindi,New Line Cinema,Dec,0.7,5.4,Flop,16
List candidate.,Sci-Fi,Maria Gilbert,2005,294.561,474.49,107.0,7.91,French,New Line Cinema,Mar,4.9,8.8,Hit,5
Far network.,Romance,Andrew Krause,2001,214.971,289.557,82.0,6.69,Spanish,Lionsgate,Nov,10.0,0.9,Hit,72
Speech because friend team.,Romance,George Williams,2007,162.451,415.184,110.0,4.06,Hindi,Fox,Oct,2.7,7.7,Hit,77
Build in against.,Action,Danielle Potter,2009,275.33,149.487,130.0,8.69,Spanish,Universal Pictures,Dec,2.2,9.0,Flop,32
Apply suffer condition wonder opportunity.,Romance,Carol Diaz,2000,183.376,412.841,139.0,1.33,Mandarin,New Line Cinema,Mar,5.0,7.9,Hit,26
Property turn point source.,Thriller,Dana Bryant,2018,157.894,295.474,84.0,3.58,Mandarin,Warner Bros,Mar,9.1,5.6,Hit,22
Table guy want science.,Romance,Stephanie Alvarez,2018,72.421,208.198,93.0,3.11,Mandarin,Fox,Oct,7.3,1.8,Hit,7
Control quite.,Sci-Fi,Sean Sullivan,2023,216.995,62.789,167.0,9.85,German,New Line Cinema,Oct,5.0,6.2,Flop,54
Carry feel fall sort green.,Romance,Sean Sullivan,2011,80.188,55.271,90.0,5.11,Spanish,New Line Cinema,Feb,7.7,2.9,Flop,55
Expect very.,Romance,Christine Gonzalez,2005,289.55,205.384,147.0,3.76,French,New Line Cinema,Jan,8.5,5.8,Flop,25
Still feel idea.,Sci-Fi,Caleb Barnes,1999,135.918,236.425,162.0,2.7,Japanese,Paramount,Aug,9.7,5.7,Hit,64
Three through direction social.,Romance,Dana Bryant,2001,23.384,272.406,174.0,2.89,French,Lionsgate,Jan,6.9,1.8,Hit,51
Reach relate.,Drama,Debbie Howe,2005,44.463,3659.8,88.0,8.12,German,New Line Cinema,May,9.6,5.8,Hit,69
Bag happy part.,Sci-Fi,Caleb Barnes,2014,268.656,355.185,167.0,1.22,Mandarin,Lionsgate,Dec,2.6,0.3,Hit,75
Long size both culture.,Drama,Kevin Sims,2005,299.061,150.264,163.0,3.55,Japanese,Warner Bros,Sep,5.2,,Flop,91
Gas herself area recognize establish.,Comedy,Dana Bryant,1994,172.955,111.121,150.0,3.92,French,Lionsgate,Sep,2.5,7.6,Flop,84
Hotel now fly against really.,Sci-Fi,Kevin Sims,2004,,459.557,173.0,2.74,Spanish,Lionsgate,Oct,1.0,1.1,Hit,47
Month finish join.,Horror,Tammy Gonzalez,1999,118.972,63.941,147.0,6.36,Spanish,Paramount,Apr,0.5,9.9,Flop,87
Pattern other.,Action,Alicia Lawrence,2007,64.812,47.253,94.0,6.29,Mandarin,Fox,Feb,2.0,9.0,Flop,39
Forget benefit color last.,Horror,Sean Sullivan,2003,154.586,61.12,153.0,8.2,Spanish,Sony Pictures,Jul,3.6,8.4,Flop,85
Data work never past former.,Comedy,Mrs. Katie Boone DDS,1999,149.892,165.861,156.0,2.46,Spanish,New Line Cinema,Mar,7.7,7.0,Hit,92
Meet lawyer.,Comedy,Yvonne Reynolds,2008,234.115,444.274,148.0,1.17,Hindi,Warner Bros,May,4.2,6.3,Hit,30
East whom page.,Action,Randy Lewis,2022,,1275.3,132.0,5.26,German,Fox,Jul,2.2,9.7,Hit,17
Provide time.,Thriller,Jennifer Smith,2006,127.416,475.606,165.0,6.87,Japanese,Paramount,Jul,6.2,0.4,Hit,80
Line some news visit give.,Thriller,Melissa Smith,2013,14.564,435.833,127.0,4.94,German,Universal Pictures,Apr,0.6,10.0,Hit,98
Worker food exist.,Horror,Tasha Reyes,2007,96.787,29.615,,7.53,Spanish,Universal Pictures,Apr,0.6,9.4,Flop,83
Floor night support.,Action,Tasha Reyes,2010,229.365,165.061,137.0,3.51,Spanish,Fox,Feb,3.6,6.8,Flop,86
Significant data Democrat else.,Thriller,Mr. Brian Tucker,1995,76.093,50.9,103.0,3.72,Hindi,New Line Cinema,Sep,4.4,5.2,Flop,94
City article fast choose.,Sci-Fi,John Barnett,1998,293.875,3594.2799999999997,98.0,7.0,English,Universal Pictures,Jul,5.8,6.7,Hit,80
